time (cs),x_acceleration(g)
2,-0.0024683563970029354
4,-0.0017278495943173766
6,-0.0017278495943173766
8,-0.0012341781985014677
10,-0.0012341781985014677
12,-0.0009873425588011742
14,-0.0014810138382017612
16,-0.002221520757302642
18,-0.0014810138382017612
20,-0.0012341781985014677
22,-0.0019746851176023483
24,-0.0019746851176023483
26,-0.0014810138382017612
28,-0.0012341781985014677
30,-0.0017278495943173766
32,-0.002221520757302642
34,-0.0017278495943173766
36,-0.0019746851176023483
38,-0.0012341781985014677
40,-0.002221520757302642
42,-0.0014810138382017612
44,-0.0012341781985014677
46,-0.0017278495943173766
48,-0.0017278495943173766
50,-0.0009873425588011742
52,-0.002221520757302642
54,-0.0014810138382017612
56,-0.0014810138382017612
58,-0.0014810138382017612
60,-0.002221520757302642
62,-0.0017278495943173766
64,-0.0019746851176023483
66,-0.0017278495943173766
68,-0.0029620276764035225
70,-0.0009873425588011742
72,-0.0012341781985014677
74,-0.0012341781985014677
76,-0.0017278495943173766
78,-0.0012341781985014677
80,-0.0012341781985014677
82,-0.0019746851176023483
84,-0.0012341781985014677
86,-0.0019746851176023483
88,-0.0012341781985014677
90,-0.0017278495943173766
92,-0.0017278495943173766
94,-0.0019746851176023483
96,-0.0009873425588011742
98,-0.002715192036703229
100,-0.002221520757302642
102,-0.0009873425588011742
104,-0.0014810138382017612
106,-0.0014810138382017612
108,-0.0019746851176023483
110,-0.0012341781985014677
112,-0.0019746851176023483
114,-0.0012341781985014677
116,-0.0019746851176023483
118,-0.0014810138382017612
120,-0.0014810138382017612
122,-0.0017278495943173766
124,-0.0009873425588011742
126,-0.0014810138382017612
128,-0.002221520757302642
130,-0.0014810138382017612
132,-0.0017278495943173766
134,-0.0017278495943173766
136,-0.0017278495943173766
138,-0.0009873425588011742
140,-0.0009873425588011742
142,-0.002221520757302642
144,-0.0014810138382017612
146,-0.0019746851176023483
148,-0.002221520757302642
150,-0.0017278495943173766
152,-0.0009873425588011742
154,-0.0014810138382017612
156,-0.0019746851176023483
158,-0.0014810138382017612
160,-0.0014810138382017612
162,-0.0009873425588011742
164,-0.0019746851176023483
166,-0.0012341781985014677
168,-0.0009873425588011742
170,-0.0014810138382017612
172,-0.002221520757302642
174,-0.0014810138382017612
176,-0.0012341781985014677
178,-0.0019746851176023483
180,-0.002221520757302642
182,-0.0014810138382017612
184,-0.0014810138382017612
186,-0.0012341781985014677
188,-0.0014810138382017612
190,-0.0009873425588011742
192,-0.0014810138382017612
194,-0.0017278495943173766
196,-0.0019746851176023483
198,-0.0029620276764035225
200,-0.0014810138382017612
202,-0.0014810138382017612
204,-0.0012341781985014677
206,-0.0007405069191008806
208,-0.002221520757302642
210,-0.0024683563970029354
212,-0.0012341781985014677
214,-0.0019746851176023483
216,-0.0019746851176023483
218,-0.0017278495943173766
220,-0.0012341781985014677
222,-0.0012341781985014677
224,-0.0017278495943173766
226,-0.0012341781985014677
228,-0.002221520757302642
230,-0.0019746851176023483
232,-0.0014810138382017612
234,-0.0012341781985014677
236,-0.0014810138382017612
238,-0.0012341781985014677
240,-0.0017278495943173766
242,-0.0024683563970029354
244,-0.0014810138382017612
246,-0.0012341781985014677
248,-0.0012341781985014677
250,-0.0012341781985014677
252,-0.0014810138382017612
254,-0.0007405069191008806
256,-0.0014810138382017612
258,-0.0019746851176023483
260,-0.002221520757302642
262,-0.0019746851176023483
264,-0.0004936712794005871
266,-0.0019746851176023483
268,-0.0017278495943173766
270,-0.0017278495943173766
272,-0.0014810138382017612
274,-0.0014810138382017612
276,-0.0019746851176023483
278,-0.0017278495943173766
280,-0.0017278495943173766
282,-0.0014810138382017612
284,-0.0017278495943173766
286,-0.0012341781985014677
288,-0.0017278495943173766
290,-0.0012341781985014677
292,-0.0017278495943173766
294,-0.002221520757302642
296,-0.0019746851176023483
298,-0.0017278495943173766
300,-0.002715192036703229
302,-0.0012341781985014677
304,-0.0014810138382017612
306,-0.0012341781985014677
308,-0.0017278495943173766
310,-0.002221520757302642
312,-0.0014810138382017612
314,-0.0017278495943173766
316,-0.0014810138382017612
318,-0.0012341781985014677
320,-0.0017278495943173766
322,-0.0017278495943173766
324,-0.0024683563970029354
326,-0.0017278495943173766
328,-0.0014810138382017612
330,-0.0012341781985014677
332,-0.0017278495943173766
334,-0.0017278495943173766
336,-0.002715192036703229
338,-0.0014810138382017612
340,-0.0017278495943173766
342,-0.0012341781985014677
344,-0.0012341781985014677
346,-0.0017278495943173766
348,-0.0009873425588011742
350,-0.002221520757302642
352,-0.0014810138382017612
354,-0.0012341781985014677
356,-0.0012341781985014677
358,-0.0012341781985014677
360,-0.0012341781985014677
362,-0.0012341781985014677
364,-0.0014810138382017612
366,-0.0012341781985014677
368,-0.0017278495943173766
370,-0.0014810138382017612
372,-0.0014810138382017612
374,-0.0017278495943173766
376,-0.0019746851176023483
378,-0.0014810138382017612
380,-0.0014810138382017612
382,-0.0017278495943173766
384,-0.0014810138382017612
386,-0.0014810138382017612
388,-0.0019746851176023483
390,-0.0012341781985014677
392,-0.0014810138382017612
394,-0.0014810138382017612
396,-0.0014810138382017612
398,-0.0014810138382017612
400,-0.0014810138382017612
402,-0.0019746851176023483
404,-0.0017278495943173766
406,-0.002221520757302642
408,-0.0012341781985014677
410,-0.0019746851176023483
412,-0.0014810138382017612
414,-0.0019746851176023483
416,-0.0017278495943173766
418,-0.002221520757302642
420,-0.0017278495943173766
422,-0.0012341781985014677
424,-0.0014810138382017612
426,-0.0012341781985014677
428,-0.0014810138382017612
430,-0.0014810138382017612
432,-0.0009873425588011742
434,-0.0017278495943173766
436,-0.0012341781985014677
438,-0.0014810138382017612
440,-0.0014810138382017612
442,-0.0017278495943173766
444,-0.0017278495943173766
446,-0.0017278495943173766
448,-0.002221520757302642
450,-0.0009873425588011742
452,-0.0014810138382017612
454,-0.0014810138382017612
456,-0.002221520757302642
458,-0.0014810138382017612
460,-0.0009873425588011742
462,-0.0012341781985014677
464,-0.0014810138382017612
466,-0.0024683563970029354
468,-0.0012341781985014677
470,-0.0014810138382017612
472,-0.0009873425588011742
474,-0.0012341781985014677
476,-2.9704201221466064
478,-0.0009873425588011742
480,-0.0014810138382017612
482,-0.0012341781985014677
484,-0.0014810138382017612
486,-0.0014810138382017612
488,-0.0017278495943173766
490,-0.0019746851176023483
492,-0.0012341781985014677
494,-0.0012341781985014677
496,-0.0009873425588011742
498,-0.0017278495943173766
500,-0.0019746851176023483
502,-0.0014810138382017612
504,-0.0012341781985014677
506,-0.0017278495943173766
508,-0.002221520757302642
510,-0.0009873425588011742
512,-0.0017278495943173766
514,-0.0014810138382017612
516,-0.0014810138382017612
518,-0.0014810138382017612
520,-0.0017278495943173766
522,-0.0014810138382017612
524,-0.0012341781985014677
526,-0.0009873425588011742
528,-0.0012341781985014677
530,-0.0014810138382017612
532,-0.0014810138382017612
534,-0.0019746851176023483
536,-0.0019746851176023483
538,-0.0017278495943173766
540,-0.0019746851176023483
542,-0.0014810138382017612
544,-0.0017278495943173766
546,-0.0012341781985014677
548,-0.0012341781985014677
550,-0.0012341781985014677
552,-0.0014810138382017612
554,-0.0014810138382017612
556,-0.0014810138382017612
558,-0.0017278495943173766
560,-0.002221520757302642
562,-0.0019746851176023483
564,-0.0014810138382017612
566,-0.0014810138382017612
568,-0.0014810138382017612
570,-0.0017278495943173766
572,-0.0014810138382017612
574,-0.0019746851176023483
576,-0.0014810138382017612
578,-0.0012341781985014677
580,-0.0017278495943173766
582,-0.0014810138382017612
584,-0.0017278495943173766
586,-0.0014810138382017612
588,-0.0017278495943173766
590,-0.0017278495943173766
592,-0.0014810138382017612
594,-0.0014810138382017612
596,-0.0009873425588011742
598,-0.002221520757302642
600,-0.0017278495943173766
602,-0.0029620276764035225
604,-0.0012341781985014677
606,-0.0017278495943173766
608,-0.0017278495943173766
610,-0.0017278495943173766
612,-0.0014810138382017612
614,-0.0009873425588011742
616,-0.0009873425588011742
618,-0.0019746851176023483
620,-0.0012341781985014677
622,-0.0009873425588011742
624,-0.002221520757302642
626,-0.0014810138382017612
628,-0.0017278495943173766
630,-0.002221520757302642
632,-0.0017278495943173766
634,-0.0012341781985014677
636,-0.0012341781985014677
638,-0.0017278495943173766
640,-0.0009873425588011742
642,-0.0017278495943173766
644,-0.0019746851176023483
646,-0.0014810138382017612
648,-0.0019746851176023483
650,-0.0014810138382017612
652,-0.0017278495943173766
654,-0.0014810138382017612
656,-0.0014810138382017612
658,-0.0012341781985014677
660,-0.0019746851176023483
662,-0.002221520757302642
664,-0.0012341781985014677
666,-0.0014810138382017612
668,-0.0009873425588011742
670,-0.0019746851176023483
672,-0.0012341781985014677
674,-0.0019746851176023483
676,-0.0017278495943173766
678,-0.0014810138382017612
680,-0.0014810138382017612
682,-0.0009873425588011742
684,-0.0014810138382017612
686,-0.0014810138382017612
688,-0.0012341781985014677
690,-0.0012341781985014677
692,-0.0017278495943173766
694,-0.0014810138382017612
696,-0.0017278495943173766
698,-0.0014810138382017612
700,-0.0024683563970029354
702,-0.0012341781985014677
704,-0.0014810138382017612
706,-0.002221520757302642
708,-0.0012341781985014677
710,-0.0009873425588011742
712,-0.0017278495943173766
714,-0.0014810138382017612
716,-0.0012341781985014677
718,-0.0024683563970029354
720,-0.0019746851176023483
722,-0.0009873425588011742
724,-0.0014810138382017612
726,-0.0009873425588011742
728,-0.0017278495943173766
730,-0.0017278495943173766
732,-0.0017278495943173766
734,-0.0017278495943173766
736,-0.0017278495943173766
738,-0.0014810138382017612
740,-0.0012341781985014677
742,-0.0009873425588011742
744,-0.0009873425588011742
746,-0.0019746851176023483
748,-0.0012341781985014677
750,-0.0019746851176023483
752,-0.0019746851176023483
754,-0.0014810138382017612
756,-0.0009873425588011742
758,-0.0017278495943173766
760,-0.002221520757302642
762,-0.0014810138382017612
764,-0.0014810138382017612
766,-0.0012341781985014677
768,-0.0014810138382017612
770,-0.0007405069191008806
772,-0.0017278495943173766
774,-0.0017278495943173766
776,-0.0017278495943173766
778,-0.0012341781985014677
780,-0.0017278495943173766
782,-0.0017278495943173766
784,-0.0019746851176023483
786,-0.0012341781985014677
788,-0.0019746851176023483
790,-0.0019746851176023483
792,-0.002221520757302642
794,-0.0014810138382017612
796,-0.0012341781985014677
798,-0.0012341781985014677
800,-0.002221520757302642
802,-0.0017278495943173766
804,-0.0019746851176023483
806,-0.0017278495943173766
808,-0.0012341781985014677
810,-0.0017278495943173766
812,-0.0012341781985014677
814,-0.0017278495943173766
816,-0.0012341781985014677
818,-0.0029620276764035225
820,-0.003208863316103816
822,-0.0004936712794005871
824,-0.0009873425588011742
826,-0.0014810138382017612
828,-0.002221520757302642
830,-0.0019746851176023483
832,-0.0012341781985014677
834,-0.0017278495943173766
